variant,baseline,target_wave,predictor,n_train,n_observed,coverage,observed_levels,globally_eligible,training_eligible
1290_original_scale,covariates_only,w23,pi_2290s,55825,55797,0.9994984326018809,49,FALSE,FALSE
1290_original_scale,covariates_only,w23,pi_2320,55825,55797,0.9994984326018809,8,TRUE,TRUE
1290_original_scale,covariates_only,w23,pi_2591,55825,54707,0.9799731303179579,13,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_010,66551,66551,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_020,66551,57060,0.8573875674294902,7,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_1130,66551,66551,1,9,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_1500,66551,66551,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_780,66551,66551,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w25,kp_820,66551,66551,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w25,pi_2280,66551,66517,0.999489113612117,2,TRUE,TRUE
1290_original_scale,covariates_only,w25,pi_2290s,66551,66517,0.999489113612117,49,FALSE,FALSE
1290_original_scale,covariates_only,w25,pi_2320,66551,66517,0.999489113612117,8,TRUE,TRUE
1290_original_scale,covariates_only,w25,pi_2591,66551,65241,0.9803158479962736,13,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_010,76366,76366,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_020,76366,66875,0.8757169420946495,7,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_1130,76366,76366,1,9,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_1500,76366,76366,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_780,76366,76366,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w26,kp_820,76366,76366,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w26,pi_2280,76366,76325,0.9994631118560616,2,TRUE,TRUE
1290_original_scale,covariates_only,w26,pi_2290s,76366,76325,0.9994631118560616,49,FALSE,FALSE
1290_original_scale,covariates_only,w26,pi_2320,76366,76325,0.9994631118560616,8,TRUE,TRUE
1290_original_scale,covariates_only,w26,pi_2591,76366,74868,0.9803839404970799,13,TRUE,TRUE
1290_original_scale,lag_covariates,w14,kp_010,8507,8507,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w14,kp_020,8507,0,0,0,TRUE,FALSE
1290_original_scale,lag_covariates,w14,kp_1130,8507,8507,1,8,TRUE,TRUE
1290_original_scale,lag_covariates,w14,kp_1500,8507,8507,1,14,TRUE,TRUE
1290_original_scale,lag_covariates,w14,kp_780,8507,8507,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w14,kp_820,8507,8507,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w14,pi_2280,8507,8506,0.9998824497472669,2,TRUE,TRUE
1290_original_scale,lag_covariates,w14,pi_2290s,8507,8506,0.9998824497472669,45,FALSE,FALSE
1290_original_scale,lag_covariates,w14,pi_2320,8507,8506,0.9998824497472669,7,TRUE,TRUE
1290_original_scale,lag_covariates,w14,pi_2591,8507,8329,0.9790760550135182,13,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_010,15825,15825,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_020,15825,7318,0.46243285939968404,6,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_1130,15825,15825,1,9,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_1500,15825,15825,1,14,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_780,15825,15825,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w15,kp_820,15825,15825,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w15,pi_2280,15825,15823,0.9998736176935229,2,TRUE,TRUE
1290_original_scale,lag_covariates,w15,pi_2290s,15825,15823,0.9998736176935229,45,FALSE,FALSE
