variant,task,baseline,wave,wave_order,ordinal_model,n_train,n_test,predictor_count,predictors_used,n_classes,convergence_code,convergence_message,log_likelihood,max_gradient,hessian_condition,iterations_outer,iterations_inner,threshold_count,thresholds_finite,thresholds_strictly_ordered,min_threshold_gap,probability_rows_valid,max_probability_sum_error,design_column_count,class_prediction_error,probability_prediction_error
1500,Left-right grouped,covariates_only,w26,26,expanding_window_ordinal_probit_covariates_only,61862,7772,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-51357.796891115206,NA,NA,360,71,2,TRUE,TRUE,1.9208497064126495,TRUE,1.1102230246251563e-16,61,NA,NA
1500,Left-right grouped,lag_and_covariates,w14,14,not_estimated,0,6704,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500,Left-right grouped,lag_and_covariates,w15,15,expanding_window_ordinal_probit_lag_covariates,6704,6736,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-3759.236892414232,NA,NA,265,66,2,TRUE,TRUE,2.795171374495338,TRUE,1.1102230246251563e-16,58,NA,NA
1500,Left-right grouped,lag_and_covariates,w22,22,expanding_window_ordinal_probit_lag_covariates,13440,9871,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-7013.588596243785,NA,NA,311,74,2,TRUE,TRUE,2.9037437913564492,TRUE,1.1102230246251563e-16,61,NA,NA
1500,Left-right grouped,lag_and_covariates,w23,23,expanding_window_ordinal_probit_lag_covariates,23311,8578,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-12284.100122760656,NA,NA,320,70,2,TRUE,TRUE,2.8904492378315374,TRUE,1.1102230246251563e-16,62,NA,NA
1500,Left-right grouped,lag_and_covariates,w25,25,expanding_window_ordinal_probit_lag_covariates,31889,7609,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-16580.904224240036,NA,NA,330,70,2,TRUE,TRUE,2.890628866706831,TRUE,1.1102230246251563e-16,62,NA,NA
1500,Left-right grouped,lag_and_covariates,w26,26,expanding_window_ordinal_probit_lag_covariates,39498,6756,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-20323.96648490381,NA,NA,348,77,2,TRUE,TRUE,2.908834727480313,TRUE,1.1102230246251563e-16,63,NA,NA
1500_original_scale,Left-right original,covariates_only,w10,10,not_estimated,0,9699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500_original_scale,Left-right original,covariates_only,w14,14,expanding_window_ordinal_probit_covariates_only,9699,7896,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-19234.79934325462,NA,NA,336,72,10,TRUE,TRUE,0.34341058557164406,TRUE,0,57,NA,NA
1500_original_scale,Left-right original,covariates_only,w15,15,expanding_window_ordinal_probit_covariates_only,17595,14340,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-34229.47936736439,NA,NA,353,74,10,TRUE,TRUE,0.3331744810339994,TRUE,0,59,NA,NA
1500_original_scale,Left-right original,covariates_only,w22,22,expanding_window_ordinal_probit_covariates_only,31935,10946,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-61633.89652366604,NA,NA,396,75,10,TRUE,TRUE,0.32105849712732093,TRUE,0,59,NA,NA
1500_original_scale,Left-right original,covariates_only,w23,23,expanding_window_ordinal_probit_covariates_only,42881,9896,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-82288.13345402686,NA,NA,410,75,10,TRUE,TRUE,0.32273359410996916,TRUE,0,60,NA,NA
1500_original_scale,Left-right original,covariates_only,w25,25,expanding_window_ordinal_probit_covariates_only,52777,9085,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-101215.62804637763,NA,NA,413,76,10,TRUE,TRUE,0.3190747161748284,TRUE,0,60,NA,NA
1500_original_scale,Left-right original,covariates_only,w26,26,expanding_window_ordinal_probit_covariates_only,61862,7772,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-118624.44222363316,NA,NA,421,77,10,TRUE,TRUE,0.3209802117946987,TRUE,0,61,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w14,14,not_estimated,0,6704,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w15,15,expanding_window_ordinal_probit_lag_covariates,6704,6736,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-9957.408926459497,NA,NA,360,85,10,TRUE,TRUE,0.4991966832044836,TRUE,1.0056400157054668e-12,66,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w22,22,expanding_window_ordinal_probit_lag_covariates,13440,9871,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-19063.992364029804,NA,NA,430,91,10,TRUE,TRUE,0.4953758854856085,TRUE,9.96869253810928e-13,69,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w23,23,expanding_window_ordinal_probit_lag_covariates,23311,8578,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-33343.91933656795,NA,NA,430,89,10,TRUE,TRUE,0.49642053655723384,TRUE,9.919842725025774e-13,70,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w25,25,expanding_window_ordinal_probit_lag_covariates,31889,7609,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-46679.55426421512,NA,NA,638,81,10,TRUE,TRUE,0.35203272372843664,TRUE,9.047207427670401e-13,70,NA,NA
1500_original_scale,Left-right original,lag_and_covariates,w26,26,expanding_window_ordinal_probit_lag_covariates,39498,6756,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,11,0,successful convergence,-55676.80334447683,NA,NA,475,91,10,TRUE,TRUE,0.5231765098348031,TRUE,1.0123013538532177e-12,71,NA,NA
