model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Qwen2_5-32B-Instruct,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,4493,1016,0.22612953483196083,0.006240861885066146,0.21389744553723117,0.23836162412669049
Qwen2_5-32B-Instruct,tanchored,weiblich,middle_income,before_university_track,correct_prediction,8178,1682,0.20567375886524822,0.004469565895382136,0.19691340971029925,0.2144341080201972
Qwen2_5-32B-Instruct,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1360,0.24619840695148443,0.005796212641534665,0.23483783017407647,0.25755898372889235
Qwen2_5-32B-Instruct,trajectory,maennlich,high_income,before_university_track,correct_prediction,2588,1338,0.5170015455950541,0.00982283061709114,0.49774879758555546,0.5362542936045527
Qwen2_5-32B-Instruct,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,3883,2177,0.5606489827453001,0.007964667354023798,0.5450382347314134,0.5762597307591867
Qwen2_5-32B-Instruct,trajectory,maennlich,low_income,before_university_track,correct_prediction,4446,2286,0.5141700404858299,0.007495675915769022,0.49947851569092266,0.5288615652807372
Qwen2_5-32B-Instruct,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3245,1741,0.536517719568567,0.008753893365068993,0.5193600885730317,0.5536753505641022
Qwen2_5-32B-Instruct,trajectory,maennlich,middle_income,before_university_track,correct_prediction,5933,2979,0.5021068599359515,0.006491259550713523,0.489383991216553,0.51482972865535
Qwen2_5-32B-Instruct,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,3926,2167,0.5519612837493633,0.007936644587159165,0.5364054603585313,0.5675171071401952
Qwen2_5-32B-Instruct,trajectory,weiblich,high_income,before_university_track,correct_prediction,1939,969,0.4997421351211965,0.011354840602521309,0.4774866475402547,0.5219976227021382
Qwen2_5-32B-Instruct,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,2742,1390,0.5069292487235595,0.009547607792313477,0.4882159374506251,0.5256425599964939
Qwen2_5-32B-Instruct,trajectory,weiblich,low_income,before_university_track,correct_prediction,4614,2240,0.48547897702644127,0.007357800043242083,0.4710576889416868,0.49990026511119573
Qwen2_5-32B-Instruct,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,2953,1501,0.5082966474771419,0.009199802071676453,0.490265035416656,0.5263282595376277
Qwen2_5-32B-Instruct,trajectory,weiblich,middle_income,before_university_track,correct_prediction,5178,2523,0.48725376593279257,0.006946208559223083,0.4736391971567153,0.5008683347088698
Qwen2_5-32B-Instruct,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,3733,1869,0.5006697026520225,0.008183528887781514,0.4846299860319707,0.5167094192720743
Qwen2_5-72B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,3830,900,0.2349869451697128,0.006851046322282256,0.22155889437803958,0.24841499596138603
Qwen2_5-72B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1387,0.25126811594202897,0.005837976152150217,0.23982568268381455,0.2627105492002434
Qwen2_5-72B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,6758,1464,0.21663213968629771,0.005011124879421,0.20681033492263257,0.22645394444996286
Qwen2_5-72B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1115,0.23870691500749305,0.006237398750074991,0.22648161345734608,0.25093221655764003
Qwen2_5-72B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,8818,1998,0.22658199138126559,0.004457945836363,0.2178444175419941,0.23531956522053707
Qwen2_5-72B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1335,0.24049720771032246,0.0057363295436833606,0.22925400180470307,0.25174041361594185
Qwen2_5-72B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3019,737,0.24412056972507454,0.00781802211212469,0.22879724638531015,0.25944389306483895
Qwen2_5-72B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1045,0.2566936870547777,0.0068460639795459655,0.2432754016548676,0.27011197245468777
