model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Qwen2_5-72B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,4421,2028,0.4587197466636508,0.0074941874586169676,0.4440311392447615,0.47340835408254006
Qwen2_5-72B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,6294,3171,0.503813155386082,0.006302226467203086,0.4914607915103639,0.5161655192618
Qwen2_5-72B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,8142,3679,0.4518545811839843,0.005515459377540527,0.4410442808040049,0.46266488156396374
Qwen2_5-72B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2658,0.4928611162618209,0.00680785854327882,0.4795177135169944,0.5062045190066474
Qwen2_5-72B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,10372,4668,0.4500578480524489,0.004884964589983846,0.4404833174560806,0.45963237864881723
Qwen2_5-72B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,3175,0.49201921586858827,0.006223487789098993,0.47982117980195427,0.5042172519352223
Qwen2_5-72B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3702,1470,0.39708265802269044,0.008041760612876704,0.3813208072214521,0.41284450882392876
Qwen2_5-72B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4782,2098,0.438728565453785,0.00717595389953019,0.42466369581070584,0.4527934350968642
Qwen2_5-72B-Instruct,baseline,weiblich,low_income,before_university_track,correct_prediction,9803,3768,0.38437213098031214,0.004913099734995727,0.3747424554997205,0.39400180646090377
Qwen2_5-72B-Instruct,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2373,0.4346153846153846,0.006708543184727694,0.42146663997331835,0.4477641292574509
Qwen2_5-72B-Instruct,baseline,weiblich,middle_income,before_university_track,correct_prediction,10694,4378,0.409388442117075,0.00475497972686743,0.40006868185241484,0.4187082023817351
Qwen2_5-72B-Instruct,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,2936,0.43762110597704573,0.006056681558497141,0.42575001012239133,0.44949220183170013
Qwen2_5-72B-Instruct,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,4421,2037,0.46075548518434745,0.007496660917817657,0.44606202978542486,0.47544894058327003
